country,country code,"price-to-income ratio, index, 2010 = 100",latest quarter
Austria,AUT,118,2014q3
Germany,DEU,114,2014q4
Luxembourg,LUX,112,2014q3
United Kingdom,GBR,110,2014q4
Switzerland,CHE,110,2014q4
Estonia,EST,106,2014q3
New Zealand,NZL,106,2014q3
Canada,CAN,105,2014q4
Belgium,BEL,105,2014q3
Norway,NOR,103,2014q4
United States,USA,101,2014q3
Latvia,LVA,101,2014q3
Australia,AUS,101,2014q4
Portugal,PRT,100,2014q3
Sweden,SWE,100,2014q4
Czech Republic,CZE,99,2014q3
France,FRA,98,2014q4
Finland,FIN,96,2014q4
Denmark,DNK,94,2014q3
Korea,KOR,93,2014q4
Japan,JPN,88,2014q3
Ireland,IRL,88,2014q4
Italy,ITA,87,2014q3
Slovak Republic,SVK,86,2014q4
Slovenia,SVN,85,2014q3
Netherlands,NLD,84,2014q4
Hungary,HUN,77,2014q3
Greece,GRC,77,2014q3
Spain,ESP,75,2014q4
